id_cliente,monto_solicitado,antiguedad_empresa_meses,rubro,estado_empresa,id_ejecutivo_venta,score_equifax,consultas_equifax_ultimos_6m,unidad_gestion_asignada,tasa_interes_asignada,target_default
10103,27607.0,43,Comercio,Activa,450,492.0,3.0,Comercial_Norte,17.28,0
10104,19114.0,116,Manufactura,Activa,859,547.0,2.0,Comercial_Norte,17.2,0
10105,31919.0,53,Servicios,Activa,716,732.0,4.0,Comercial_Digital,16.89,0
10106,50173.0,117,Comercio,Activa,325,488.0,-0.0,Comercial_Norte,21.12,0
10107,164218.0,85,Tecnología,Activa,362,551.0,1.0,Comercial_Digital,16.93,0
10108,41759.0,27,Servicios,Activa,668,440.0,6.0,Comercial_Norte,19.52,0
10109,44625.0,19,Comercio,Activa,784,666.0,7.0,Unidad_Activos_Especiales,16.35,1
10110,34216.0,23,Manufactura,Activa,225,542.0,-1.0,Comercial_Digital,17.93,0
10111,7824.0,115,Agricultura,Activa,192,635.0,7.0,Comercial_Norte,17.78,0
10112,35553.0,50,Servicios,Activa,220,668.0,6.0,Comercial_Norte,17.72,0
10113,38108.0,51,Agricultura,Activa,324,520.0,3.0,Comercial_Sur,18.18,0
10114,260561.0,43,Comercio,Activa,614,410.0,5.0,Comercial_Sur,19.43,0
10115,31136.0,99,Agricultura,Activa,203,578.0,8.0,Comercial_Sur,17.15,0
10116,46223.0,104,Comercio,Activa,771,506.0,,Unidad_Activos_Especiales,18.96,1
10117,35321.0,116,Servicios,Activa,822,594.0,5.0,Comercial_Sur,19.68,0
10118,14258.0,51,Comercio,Activa,423,595.0,3.0,Comercial_Sur,18.14,0
10119,90604.0,106,Comercio,Activa,493,550.0,3.0,Comercial_Digital,20.68,0
10120,66274.0,112,Agricultura,Activa,885,546.0,5.0,Comercial_Digital,19.6,0
10121,68379.0,69,Comercio,Activa,438,560.0,5.0,Comercial_Norte,17.97,1
10122,17544.0,116,Agricultura,Activa,280,518.0,6.0,Comercial_Digital,19.37,0
10123,111551.0,41,Comercio,Activa,687,590.0,1.0,Comercial_Norte,17.63,0
10124,11831.0,72,Manufactura,Activa,771,544.0,5.0,Comercial_Sur,17.75,0
10125,58075.0,11,Comercio,Activa,617,630.0,5.0,Comercial_Norte,17.24,0
10126,209476.0,80,Servicios,Activa,777,711.0,4.0,Comercial_Norte,17.13,0
10127,16442.0,103,Manufactura,Activa,922,715.0,9.0,Comercial_Sur,15.7,0
10128,23086.0,111,Servicios,Activa,893,729.0,2.0,Comercial_Digital,15.83,0
10129,39329.0,88,Comercio,Activa,299,567.0,4.0,Comercial_Digital,17.9,0
10130,24275.0,85,Comercio,Activa,685,575.0,5.0,Comercial_Digital,19.73,0
10131,10504.0,52,Comercio,Activa,313,473.0,6.0,Comercial_Sur,19.73,0
10132,38363.0,23,Manufactura,Activa,325,566.0,4.0,Comercial_Norte,18.19,0
10133,15524.0,49,Servicios,Activa,208,569.0,4.0,Comercial_Sur,18.17,0
10134,53044.0,38,Servicios,Activa,214,538.0,5.0,Comercial_Sur,19.26,0
10135,17404.0,47,Comercio,Activa,355,538.0,5.0,Comercial_Sur,19.02,0
10136,125486.0,72,Servicios,Activa,697,430.0,4.0,Comercial_Sur,21.51,0
10137,19407.0,7,Servicios,Activa,505,466.0,0.0,Comercial_Norte,19.63,0
10138,28067.0,66,Comercio,Activa,617,604.0,4.0,Comercial_Digital,19.71,0
10139,69620.0,94,Comercio,Activa,578,608.0,7.0,Comercial_Digital,17.16,0
10140,13566.0,77,Comercio,Activa,391,648.0,5.0,Comercial_Sur,17.4,0
10141,43563.0,62,Servicios,Activa,738,574.0,2.0,Comercial_Norte,18.86,0
10142,103333.0,87,Servicios,Activa,878,601.0,1.0,Comercial_Sur,17.97,0
10143,10037.0,29,Comercio,Activa,437,725.0,6.0,Comercial_Norte,16.14,0
10144,42096.0,38,Comercio,Activa,987,595.0,3.0,Comercial_Sur,17.19,0
10145,44708.0,101,Comercio,Activa,645,537.0,7.0,Comercial_Digital,19.62,0
10146,67877.0,84,Comercio,Activa,358,481.0,7.0,Comercial_Digital,19.94,0
10147,13500.0,33,Servicios,Activa,852,680.0,4.0,Comercial_Sur,16.83,0
10148,12628.0,29,Comercio,Activa,716,360.0,,Unidad_Activos_Especiales,19.7,1
10149,55136.0,114,Servicios,Activa,726,516.0,5.0,Comercial_Sur,19.83,0
10150,46055.0,79,Servicios,Activa,533,642.0,2.0,Comercial_Norte,18.0,0
10151,44373.0,23,Agricultura,Activa,457,409.0,7.0,Comercial_Norte,18.11,0
10152,47914.0,106,Comercio,Activa,347,469.0,,Unidad_Activos_Especiales,20.6,1
10153,21078.0,3,Comercio,Activa,903,613.0,,Comercial_Sur,17.57,0
10154,43731.0,101,Comercio,Activa,820,562.0,6.0,Comercial_Digital,16.91,0
10155,45911.0,93,Comercio,Activa,705,502.0,5.0,Comercial_Norte,18.5,0
10156,20507.0,45,Servicios,Activa,538,541.0,2.0,Comercial_Digital,17.65,0
10157,161558.0,8,Servicios,Activa,641,612.0,,Comercial_Norte,16.97,1
10158,53054.0,86,Comercio,Activa,673,713.0,-0.0,Unidad_Activos_Especiales,16.84,1
10159,14002.0,117,Comercio,Activa,854,614.0,4.0,Comercial_Sur,18.38,0
10160,61405.0,29,Servicios,Activa,280,401.0,5.0,Comercial_Sur,21.56,0
10161,16651.0,2,Comercio,Activa,206,657.0,4.0,Comercial_Sur,16.89,0
10162,68164.0,105,Manufactura,Activa,661,560.0,2.0,Comercial_Digital,21.23,0
10163,91755.0,113,Comercio,Activa,322,490.0,3.0,Comercial_Norte,17.19,0
10164,18835.0,50,Manufactura,Activa,259,520.0,3.0,Comercial_Norte,18.19,0
10165,78488.0,109,Comercio,Activa,219,524.0,6.0,Comercial_Digital,19.39,0
10166,50525.0,65,Manufactura,Activa,979,459.0,7.0,Comercial_Norte,19.44,0
10167,70098.0,108,Servicios,Activa,438,594.0,-1.0,Comercial_Norte,17.81,0
10168,165617.0,20,Comercio,Activa,876,783.0,4.0,Comercial_Digital,15.3,0
10169,29843.0,52,Servicios,Activa,980,490.0,,Comercial_Sur,19.35,0
10170,19871.0,85,Servicios,Activa,371,710.0,3.0,Unidad_Activos_Especiales,14.97,1
10171,17826.0,37,Comercio,Activa,521,621.0,6.0,Comercial_Sur,18.51,0
10172,18908.0,72,Agricultura,Activa,502,591.0,3.0,Comercial_Norte,18.97,0
10173,34143.0,27,Servicios,Activa,961,498.0,5.0,Unidad_Activos_Especiales,21.11,1
10174,47711.0,47,Manufactura,Activa,903,519.0,8.0,Comercial_Digital,17.33,0
10175,45313.0,99,Servicios,Activa,878,629.0,3.0,Comercial_Digital,18.33,0
10176,70386.0,6,Servicios,Activa,599,582.0,,Unidad_Activos_Especiales,17.41,1
10177,36695.0,60,Servicios,Activa,690,357.0,4.0,Comercial_Sur,21.52,0
10178,116172.0,45,Comercio,Activa,332,784.0,,Unidad_Activos_Especiales,14.59,1
10179,29386.0,44,Manufactura,Activa,290,419.0,3.0,Comercial_Sur,19.76,0
10180,320019.0,83,Manufactura,Activa,696,548.0,7.0,Comercial_Digital,19.4,0
10181,59906.0,18,Agricultura,Activa,735,344.0,4.0,Comercial_Digital,23.52,0
10182,18293.0,65,Comercio,Activa,526,573.0,4.0,Comercial_Digital,20.38,0
10183,15418.0,25,Manufactura,Activa,685,484.0,6.0,Unidad_Activos_Especiales,20.78,1
10184,53422.0,27,Comercio,Activa,598,549.0,3.0,Comercial_Digital,17.65,0
10185,30371.0,7,Comercio,Activa,316,630.0,6.0,Comercial_Norte,17.42,0
10186,64293.0,44,Comercio,Activa,451,576.0,3.0,Comercial_Norte,18.31,0
10187,53029.0,106,Comercio,Activa,388,654.0,2.0,Comercial_Norte,17.72,0
10188,34260.0,29,Manufactura,Activa,148,476.0,6.0,Comercial_Sur,20.59,0
10189,18445.0,95,Manufactura,Activa,278,608.0,5.0,Comercial_Sur,17.42,0
10190,10809.0,44,Comercio,Activa,789,537.0,3.0,Comercial_Digital,20.2,0
10191,25407.0,107,Comercio,Activa,635,563.0,6.0,Comercial_Digital,20.91,0
10192,72050.0,36,Comercio,Activa,376,627.0,2.0,Comercial_Sur,17.95,0
10193,43100.0,19,Servicios,Activa,509,550.0,5.0,Comercial_Norte,18.18,0
10194,13405.0,6,Servicios,Activa,692,589.0,1.0,Comercial_Digital,19.24,0
10195,41712.0,25,Servicios,Activa,246,485.0,3.0,Comercial_Norte,20.84,0
10196,49427.0,31,Agricultura,Activa,806,710.0,2.0,Comercial_Digital,17.05,0
10197,17906.0,9,Servicios,Activa,560,673.0,1.0,Comercial_Norte,16.9,0
10198,41068.0,84,Servicios,Activa,677,610.0,4.0,Comercial_Digital,19.26,0
10199,38047.0,74,Agricultura,Activa,163,576.0,5.0,Comercial_Norte,17.4,0
10200,14554.0,37,Servicios,Activa,464,520.0,,Unidad_Activos_Especiales,19.14,1
10201,48350.0,27,Comercio,Activa,579,707.0,4.0,Comercial_Sur,18.3,0
10202,56876.0,13,Servicios,Activa,516,666.0,5.0,Comercial_Digital,16.99,0
10203,86374.0,41,Manufactura,Activa,643,709.0,2.0,Comercial_Norte,16.39,0
10204,84376.0,66,Manufactura,Activa,717,566.0,2.0,Comercial_Sur,18.73,0
10205,12063.0,114,Manufactura,Activa,600,648.0,4.0,Comercial_Digital,16.37,0
10206,17150.0,85,Manufactura,Activa,764,649.0,2.0,Unidad_Activos_Especiales,16.12,1
10207,54832.0,97,Agricultura,Activa,543,507.0,4.0,Comercial_Norte,18.86,0
10208,54777.0,24,Manufactura,Activa,486,431.0,3.0,Unidad_Activos_Especiales,20.35,1
10209,54832.0,117,Agricultura,Activa,973,628.0,4.0,Comercial_Norte,18.75,0
10210,791896.0,44,Servicios,Activa,918,477.0,1.0,Comercial_Sur,20.11,0
10211,57338.0,106,Servicios,Activa,106,418.0,1.0,Comercial_Norte,22.25,0
10212,90080.0,98,Tecnología,Activa,724,647.0,3.0,Unidad_Activos_Especiales,17.83,1
10213,77902.0,60,Agricultura,Activa,288,735.0,1.0,Comercial_Norte,16.84,0
10214,61152.0,9,Manufactura,Activa,892,412.0,-1.0,Unidad_Activos_Especiales,21.45,1
10215,28220.0,2,Servicios,Activa,954,457.0,5.0,Comercial_Norte,21.73,0
10216,66648.0,119,Comercio,Activa,353,535.0,6.0,Comercial_Sur,19.03,0
10217,19570.0,56,Servicios,Activa,703,725.0,6.0,Comercial_Digital,16.22,0
10218,30048.0,30,Comercio,Activa,815,559.0,4.0,Comercial_Sur,17.55,0
10219,24630.0,22,Servicios,Activa,619,609.0,4.0,Comercial_Norte,18.76,0
10220,38774.0,110,Comercio,Activa,853,632.0,4.0,Comercial_Sur,17.03,0
10221,231359.0,75,Manufactura,Activa,610,547.0,3.0,Unidad_Activos_Especiales,19.52,1
10222,8153.0,119,Agricultura,Activa,838,749.0,0.0,Comercial_Norte,15.96,0
10223,62882.0,107,Comercio,Activa,892,458.0,6.0,Unidad_Activos_Especiales,18.98,1
10224,9995.0,81,Comercio,Activa,321,590.0,4.0,Comercial_Norte,18.25,0
10225,24896.0,100,Agricultura,Activa,546,623.0,4.0,Comercial_Norte,17.23,0
10226,86783.0,13,Servicios,Activa,515,595.0,3.0,Comercial_Sur,16.65,0
10227,38232.0,71,Servicios,Activa,327,478.0,5.0,Comercial_Sur,20.17,0
10228,15334.0,16,Servicios,Activa,664,453.0,4.0,Comercial_Norte,21.92,0
10229,20491.0,97,Comercio,Activa,380,381.0,,Unidad_Activos_Especiales,20.31,1
10230,62547.0,45,Comercio,Activa,637,673.0,3.0,Comercial_Norte,14.23,0
10231,20246.0,65,Agricultura,Activa,107,448.0,4.0,Unidad_Activos_Especiales,22.32,1
10232,43181.0,11,Manufactura,Activa,296,577.0,2.0,Unidad_Activos_Especiales,16.74,1
10233,37664.0,70,Comercio,Activa,997,609.0,7.0,Comercial_Sur,19.63,0
10234,21563.0,20,Comercio,Activa,246,503.0,3.0,Comercial_Digital,20.78,0
10235,201825.0,99,Servicios,Activa,815,505.0,2.0,Comercial_Norte,19.51,0
10236,60303.0,108,Comercio,Activa,586,613.0,3.0,Comercial_Sur,17.16,0
10237,7186.0,63,Comercio,Activa,835,608.0,6.0,Comercial_Norte,19.02,0
10238,42157.0,101,Comercio,Activa,297,649.0,3.0,Comercial_Digital,17.43,0
10239,21388.0,105,Comercio,Activa,346,554.0,6.0,Comercial_Sur,20.53,0
10240,71822.0,90,Servicios,Activa,875,515.0,3.0,Comercial_Digital,19.81,0
10241,19264.0,12,Agricultura,Activa,286,611.0,1.0,Comercial_Norte,19.61,0
10242,33131.0,62,Comercio,Activa,232,742.0,2.0,Comercial_Norte,16.68,0
10243,54393.0,94,Comercio,Activa,944,412.0,3.0,Comercial_Norte,22.14,0
10244,72592.0,92,Comercio,Activa,258,450.0,5.0,Unidad_Activos_Especiales,20.61,1
10245,13902.0,91,Agricultura,Activa,496,659.0,3.0,Comercial_Digital,17.06,0
10246,27789.0,42,Servicios,Activa,217,622.0,2.0,Comercial_Sur,17.25,0
10247,24836.0,83,Servicios,Activa,484,661.0,1.0,Comercial_Norte,16.17,0
10248,21533.0,69,Agricultura,Activa,657,557.0,0.0,Comercial_Norte,18.53,0
10249,149099.0,58,Servicios,Activa,231,439.0,9.0,Comercial_Digital,19.41,0
10250,50211.0,5,Servicios,Activa,473,767.0,3.0,Comercial_Sur,15.09,0
10251,13244.0,105,Agricultura,Activa,503,638.0,5.0,Unidad_Activos_Especiales,17.66,1
10252,75682.0,27,Servicios,Activa,448,528.0,,Unidad_Activos_Especiales,19.61,1
10253,198337.0,28,Comercio,Activa,131,516.0,6.0,Comercial_Digital,20.63,0
10254,82948.0,26,Servicios,Activa,196,551.0,2.0,Comercial_Digital,18.99,0
10255,10770.0,91,Tecnología,Activa,995,623.0,8.0,Comercial_Sur,18.14,0
10256,24652.0,116,Tecnología,Activa,689,575.0,8.0,Comercial_Norte,18.16,0
10257,100060.0,49,Manufactura,Activa,438,599.0,2.0,Comercial_Sur,18.02,0
10258,20617.0,106,Servicios,Activa,982,761.0,6.0,Comercial_Sur,15.66,0
10259,51795.0,21,Agricultura,Activa,486,692.0,8.0,Comercial_Sur,18.72,0
10260,67488.0,1,Servicios,Activa,919,483.0,,Comercial_Digital,20.18,0
10261,17300.0,118,Servicios,Activa,878,608.0,1.0,Comercial_Sur,16.69,0
10262,34627.0,92,Comercio,Activa,876,548.0,-0.0,Comercial_Sur,19.01,0
10263,2716.0,112,Servicios,Activa,284,630.0,2.0,Comercial_Sur,16.7,0
10264,16002.0,58,Comercio,Activa,283,524.0,,Unidad_Activos_Especiales,18.49,1
10265,29672.0,79,Manufactura,Activa,993,897.0,3.0,Comercial_Norte,13.6,0
10266,13383.0,55,Servicios,Activa,150,643.0,1.0,Comercial_Digital,17.8,0
10267,134045.0,81,Comercio,Activa,831,587.0,5.0,Comercial_Digital,18.58,0
10268,11567.0,26,Manufactura,Activa,101,784.0,4.0,Comercial_Sur,14.57,0
10269,25539.0,84,Servicios,Activa,176,621.0,5.0,Comercial_Norte,16.15,0
10270,40320.0,25,Manufactura,Activa,578,448.0,6.0,Comercial_Digital,20.15,0
10271,115038.0,77,Agricultura,Activa,974,588.0,5.0,Comercial_Norte,18.12,0
10272,11514.0,33,Comercio,Activa,561,661.0,4.0,Comercial_Sur,17.0,0
10273,92091.0,89,Servicios,Activa,498,648.0,2.0,Comercial_Digital,17.49,0
10274,36614.0,72,Agricultura,Activa,936,631.0,6.0,Unidad_Activos_Especiales,17.11,1
10275,16561.0,69,Manufactura,Activa,138,615.0,5.0,Comercial_Norte,18.69,0
10276,52559.0,6,Tecnología,Activa,645,608.0,4.0,Comercial_Digital,18.55,0
10277,42585.0,23,Agricultura,Activa,841,460.0,3.0,Comercial_Norte,20.92,0
10278,22468.0,116,Comercio,Activa,782,753.0,5.0,Comercial_Sur,17.17,0
10279,38401.0,30,Comercio,Activa,350,499.0,2.0,Comercial_Norte,19.99,1
10280,26682.0,78,Comercio,Activa,165,502.0,5.0,Comercial_Norte,19.52,0
10281,39768.0,54,Comercio,Activa,528,863.0,,Comercial_Norte,13.95,0
10282,61679.0,87,Comercio,Activa,452,768.0,5.0,Comercial_Sur,16.18,0
10283,129161.0,11,Agricultura,Activa,482,485.0,,Unidad_Activos_Especiales,19.8,1
10284,13491.0,31,Servicios,Activa,126,412.0,4.0,Comercial_Sur,18.99,0
10285,200071.0,6,Comercio,Activa,166,528.0,5.0,Comercial_Digital,18.49,0
10286,7618.0,11,Manufactura,Activa,801,758.0,4.0,Comercial_Digital,17.11,0
10287,32163.0,77,Comercio,Activa,931,618.0,1.0,Comercial_Digital,15.87,0
10288,58143.0,12,Comercio,Activa,599,465.0,3.0,Comercial_Sur,20.37,0
10289,45469.0,118,Comercio,Activa,997,678.0,7.0,Comercial_Sur,17.38,0
10290,22067.0,66,Servicios,Activa,854,579.0,4.0,Comercial_Norte,18.23,0
10291,30746.0,53,Manufactura,Activa,511,535.0,2.0,Comercial_Digital,18.3,0
10292,24480.0,99,Comercio,Activa,729,543.0,,Comercial_Norte,17.79,0
10293,22663.0,119,Servicios,Activa,780,731.0,7.0,Comercial_Sur,16.22,0
10294,71660.0,36,Comercio,Activa,469,655.0,2.0,Comercial_Digital,16.86,0
10295,48321.0,17,Comercio,Activa,698,381.0,3.0,Unidad_Activos_Especiales,22.83,1
10296,20862.0,28,Comercio,Activa,708,637.0,3.0,Comercial_Norte,17.92,0
10297,74584.0,92,Comercio,Activa,535,611.0,5.0,Comercial_Norte,17.44,0
10298,46436.0,22,Servicios,Activa,881,558.0,4.0,Comercial_Sur,18.93,0
10299,69584.0,102,Servicios,Activa,160,563.0,4.0,Comercial_Sur,17.88,0
10300,60096.0,7,Comercio,Activa,149,513.0,4.0,Comercial_Digital,19.12,0
10301,18710.0,15,Comercio,Activa,624,534.0,8.0,Comercial_Sur,17.21,0
10302,23199.0,96,Agricultura,Activa,295,629.0,5.0,Comercial_Norte,17.21,0
10303,66028.0,11,Comercio,Activa,469,572.0,3.0,Comercial_Norte,18.96,0
10304,59177.0,24,Manufactura,Activa,374,655.0,3.0,Comercial_Sur,17.01,0
10305,35713.0,67,Manufactura,Activa,315,522.0,5.0,Comercial_Sur,20.06,0
10306,39889.0,30,Comercio,Activa,391,671.0,2.0,Comercial_Digital,18.2,0
10307,100925.0,70,Comercio,Activa,425,731.0,5.0,Comercial_Norte,16.75,0
10308,22623.0,66,Comercio,Activa,879,599.0,4.0,Comercial_Norte,20.01,0
10309,56257.0,61,Servicios,Activa,940,652.0,,Comercial_Norte,18.26,0
